dataset,horizon_min,model,C_u_over_C_o,total_cost_dollars,cost_waste_dollars,cost_violation_dollars,cost_per_vcpu_month,violation_rate,waste_rate,mean_violation_pp,mean_waste_pp,savings_vs_naive_dollars,savings_vs_naive_pct,n_timesteps
ByteDance,10,xgboost,2,16.21394920349121,5.437079429626465,10.776869773864746,1.0899624824523926,0.5001789521186375,0.4998210478813625,1.048121452331543,1.0575834512710571,8.740236282348633,35.02513122558594,64263
ByteDance,10,lightgbm,2,21.64517555515977,6.97726721712941,14.667908338030362,1.4550699220125143,0.5016728132829155,0.4983271867170845,1.4265506918863073,1.3571703813098928,3.309009930680073,13.260340364776715,64263
ByteDance,10,extratrees,2,16.741937376740303,5.564554745218857,11.177382631521446,1.1254558527849323,0.4917759830695735,0.5076482579400277,1.0870740775719938,1.0823791966642657,8.21224810909954,32.90930138256586,64263
ByteDance,10,bilstm,2,,,,,0.48771454802919256,0.5121142803790673,,,,,64263
ByteDance,10,linear_reg,2,26.04897117614746,8.588350296020508,17.460620880126953,1.7511096000671387,0.4775064967399592,0.5224935032600407,1.6981602907180786,1.6705470085144043,-1.0947856903076172,-4.387182712554932,64263
ByteDance,10,naive,3,33.27363967895508,8.315278053283691,24.95836067199707,2.236778974533081,0.4822370570935064,0.4824082286852466,1.6182433366775513,1.6174310445785522,0.0,0.0,64263
ByteDance,10,hetero_ensemble,3,28.27376323622439,7.043357409790249,21.23040582643414,1.9006684589964578,0.4957284907333925,0.5042715092666076,1.3765311964397695,1.3700257943509966,4.999876442730688,15.026538998957218,64263
ByteDance,10,homo_ensemble,3,28.298525101496786,7.02696243789753,21.271562663599255,1.9023330444963058,0.4966932760686554,0.5033067239313447,1.3791997120945214,1.3668367563562096,4.975114577458292,14.952120133118333,64263
ByteDance,10,xgboost,3,21.60238265991211,5.437079429626465,16.16530418395996,1.452193260192871,0.5001789521186375,0.4998210478813625,1.048121452331543,1.0575834512710571,11.671257019042969,35.07658767700195,64263
ByteDance,10,lightgbm,3,28.979129724174953,6.97726721712941,22.001862507045544,1.948085841128422,0.5016728132829155,0.4983271867170845,1.4265506918863073,1.3571703813098928,4.294509954780125,12.906643205300796,64263
ByteDance,10,extratrees,3,22.33062869250103,5.564554745218857,16.766073947282173,1.501148653993814,0.4917759830695735,0.5076482579400277,1.0870740775719938,1.0823791966642657,10.943010986454048,32.88792897933342,64263
ByteDance,10,bilstm,3,,,,,0.48771454802919256,0.5121142803790673,,,,,64263
ByteDance,10,linear_reg,3,34.77928161621094,8.588350296020508,26.19093132019043,2.337993860244751,0.4775064967399592,0.5224935032600407,1.6981602907180786,1.6705470085144043,-1.5056419372558594,-4.525029182434082,64263
ByteDance,10,naive,5,49.91254806518555,8.315278053283691,41.59727096557617,3.355308771133423,0.4822370570935064,0.4824082286852466,1.6182433366775513,1.6174310445785522,0.0,0.0,64263
ByteDance,10,hetero_ensemble,5,42.42736712051381,7.043357409790249,35.38400971072356,2.852126821975626,0.4957284907333925,0.5042715092666076,1.3765311964397695,1.3700257943509966,7.48518094467174,14.99659150820377,64263
ByteDance,10,homo_ensemble,5,42.47956687722962,7.02696243789753,35.45260443933209,2.855635885496039,0.4966932760686554,0.5033067239313447,1.3791997120945214,1.3668367563562096,7.432981187955924,14.892009076051352,64263
