container_id,mae_naive,mae_ensemble,n_timesteps,skill,ens_wins,horizon,acf_24h,acf_quartile
c_11864,3.0253968,2.6180284433584786,315,0.13464956970561176,1,120min,0.5896899136464407,Q3
c_11889,1.290625,1.3705958714660542,320,-0.06196292244859918,0,120min,0.0729286874145093,Q2
c_11917,1.2821317,1.2597831887876703,319,0.017430723854308012,1,120min,0.2197571796298839,Q2
c_1194,0.08125,0.13593434746236255,320,-0.6730381839803677,0,120min,-0.0096779984407487,Q1 (low)
c_1195,5.031847,4.290834363325641,314,0.14726454059085117,1,120min,,
c_11985,5.394822,5.1986256630043295,309,0.03636754897081487,1,120min,0.6047414670928613,Q3
c_11999,0.89096576,1.0658472313740395,321,-0.19628304421946438,0,120min,0.1346640240867285,Q2
c_12,2.766355,2.0918956684647365,321,0.24380795669230573,1,120min,,
c_12008,10.523364,9.746558827881215,321,0.07381719707167204,1,120min,0.5865268592636996,Q3
c_1203,4.475,3.903253308643388,320,0.12776460517849442,1,120min,0.2195542750344447,Q2
c_12035,1.8193146,1.8383382872546026,321,-0.010456513803330115,0,120min,0.4103351491627193,Q3
c_12074,0.70886075,0.7160341967226351,316,-0.0101196768274129,0,120min,0.0053235795330933,Q1 (low)
c_12078,1.9003115,2.056652502660211,321,-0.08227126715488461,0,120min,0.0107989740448266,Q1 (low)
c_12084,3.840625,2.324242906240245,320,0.39482691557146465,1,120min,0.798736051086687,Q4 (high)
c_12111,0.39087948,0.43970121066967666,307,-0.12490225474396371,0,120min,0.049910940191399,Q2
c_1214,2.85625,1.8093944358708025,320,0.36651399364067017,1,120min,0.9095041297507126,Q4 (high)
c_12141,1.0062894,1.0741551663639648,318,-0.06744163851685231,0,120min,-0.0465729066415536,Q1 (low)
c_12176,0.51898736,0.5487040881649144,316,-0.057259064430723684,0,120min,0.0599718262657782,Q2
c_12183,1.978125,2.0126602061783148,320,-0.017458568309089352,0,120min,0.3519239417693043,Q3
c_12209,1.0062305,1.2098122986259863,321,-0.2023212678063439,0,120min,0.0911654081354249,Q2
c_12212,2.721003,2.8703995533701003,319,-0.05490493569701522,0,120min,0.2156942403949309,Q2
c_12223,4.909375,4.092897075967732,320,0.1663099850889408,1,120min,0.6307139959845884,Q3
c_12238,1.1433022,1.3345781966913386,321,-0.1673013435069106,0,120min,0.0113772736185957,Q1 (low)
c_12251,0.57051283,0.6046608466387635,312,-0.05985494726767791,0,120min,-0.0282256628407788,Q1 (low)
c_12254,3.432602,3.44102539369056,319,-0.0024539591699133424,0,120min,0.3266425511794686,Q3
c_12260,2.9906542,2.9432083773805635,321,0.015864706878991327,1,120min,0.4730330251864638,Q3
c_12264,7.6334405,7.174930546112202,311,0.060065962229386635,1,120min,0.2102487268428698,Q2
c_12272,2.8808777,2.037119007703699,319,0.29288251833607254,1,120min,0.9124552856732754,Q4 (high)
c_12281,2.94375,2.4223417656917556,320,0.17712378966714348,1,120min,0.2590713636653615,Q2
c_12282,0.47663552,0.5011728246867011,321,-0.05148023634230784,0,120min,0.0426631594498275,Q1 (low)
c_12293,0.684375,0.7711585784683896,320,-0.1268070749238016,0,120min,0.1287460273885611,Q2
c_12362,3.5482867,3.1045319027616416,321,0.12506170276370762,1,120min,0.7940216872743642,Q4 (high)
c_12375,8.22327,5.658926729497595,318,0.311839883277063,1,120min,0.1691267329098042,Q2
c_12425,1.317757,1.5766212058128783,321,-0.19644304169752383,0,120min,0.2916558236505343,Q2
c_12436,3.4440894,2.219376926133996,313,0.35559834249452155,1,120min,0.9262529309682428,Q4 (high)
c_12448,2.199377,1.821641505790808,321,0.1717466099953854,1,120min,0.4051658958789765,Q3
c_1245,2.578125,2.1357580239971647,320,0.1715847664495846,1,120min,0.642684686544434,Q3
c_12451,0.64262295,0.6548181909487024,305,-0.01897729189350362,0,120min,,
c_12462,1.4490446,1.5972199140465708,314,-0.10225725994158648,0,120min,0.1152888828457619,Q2
c_12471,0.4827586,0.5029320274710656,319,-0.04178779114929731,0,120min,-0.020433473126087,Q1 (low)
c_12481,2.8681672,2.7991545399290314,311,0.024061575952839753,1,120min,0.1681968342489959,Q2
c_12499,2.6740506,2.596709818027754,316,0.028922695923442043,1,120min,0.7140108922061793,Q3
c_12514,3.7805643,2.781982881898006,319,0.2641355482596696,1,120min,0.7953077024236523,Q4 (high)
c_12526,2.00625,1.9448348821562935,320,0.03061185066449765,1,120min,0.6809142654478431,Q3
c_12536,0.7670807,0.893423153716894,322,-0.1647055198823148,0,120min,0.0932262290159159,Q2
