Horizon,Strategy,variant,safety_margin,violation_rate,waste_rate,viol_severity
30min,Reactive,lag=4,1.533,0.030654383831922163,0.47145920598273666,0.02589584187061223
30min,Reactive,lag=4,1.6,0.030654383831922163,0.47145920598273666,0.02589584187061223
30min,ML-Proactive,ML,1.0,0.015650982366293323,0.47000868001789814,0.014116510520080268
30min,ML-Proactive,ML,1.067,0.015164539463362004,0.49333618091883763,0.013761995733023976
30min,ML-Proactive,ML,1.133,0.014540584058605768,0.5136083819021854,0.01346489842741855
30min,ML-Proactive,ML,1.2,0.014094728546080924,0.5310776002331882,0.013214122586909988
30min,ML-Proactive,ML,1.267,0.013450176555148269,0.5468858738712297,0.01297036248160938
30min,ML-Proactive,ML,1.333,0.012965550998056045,0.5604615599414281,0.012766289715225731
30min,ML-Proactive,ML,1.4,0.012676593009639808,0.572727041774838,0.012594683070766752
30min,ML-Proactive,ML,1.467,0.012469415583982882,0.5836617381827778,0.012445327168097016
30min,ML-Proactive,ML,1.533,0.012325845262694313,0.5940532599352113,0.012302722809769661
30min,ML-Proactive,ML,1.6,0.012175005558049358,0.6031195324851554,0.012182398547772167
60min,Reactive,lag=1,1.0,0.02015503015297616,0.4669701822003074,0.01772216759981713
60min,Reactive,lag=1,1.067,0.02015503015297616,0.4669701822003074,0.01772216759981713
60min,Reactive,lag=1,1.133,0.02015503015297616,0.4669701822003074,0.01772216759981713
60min,Reactive,lag=1,1.2,0.02015503015297616,0.4669701822003074,0.01772216759981713
60min,Reactive,lag=1,1.267,0.02015503015297616,0.4669701822003074,0.01772216759981713
60min,Reactive,lag=1,1.333,0.02015503015297616,0.4669701822003074,0.01772216759981713
60min,Reactive,lag=1,1.4,0.02015503015297616,0.4669701822003074,0.01772216759981713
60min,Reactive,lag=1,1.467,0.02015503015297616,0.4669701822003074,0.01772216759981713
60min,Reactive,lag=1,1.533,0.02015503015297616,0.4669701822003074,0.01772216759981713
60min,Reactive,lag=1,1.6,0.02015503015297616,0.4669701822003074,0.01772216759981713
60min,Reactive,lag=2,1.0,0.024285219952961727,0.468658969711137,0.02083448901165115
60min,Reactive,lag=2,1.067,0.024285219952961727,0.468658969711137,0.02083448901165115
60min,Reactive,lag=2,1.133,0.024285219952961727,0.468658969711137,0.02083448901165115
60min,Reactive,lag=2,1.2,0.024285219952961727,0.468658969711137,0.02083448901165115
60min,Reactive,lag=2,1.267,0.024285219952961727,0.468658969711137,0.02083448901165115
60min,Reactive,lag=2,1.333,0.024285219952961727,0.468658969711137,0.02083448901165115
60min,Reactive,lag=2,1.4,0.024285219952961727,0.468658969711137,0.02083448901165115
60min,Reactive,lag=2,1.467,0.024285219952961727,0.468658969711137,0.02083448901165115
60min,Reactive,lag=2,1.533,0.024285219952961727,0.468658969711137,0.02083448901165115
60min,Reactive,lag=2,1.6,0.024285219952961727,0.468658969711137,0.02083448901165115
60min,Reactive,lag=3,1.0,0.027722110270392966,0.47011879768993653,0.02352487824729667
60min,Reactive,lag=3,1.067,0.027722110270392966,0.47011879768993653,0.02352487824729667
60min,Reactive,lag=3,1.133,0.027722110270392966,0.47011879768993653,0.02352487824729667
60min,Reactive,lag=3,1.2,0.027722110270392966,0.47011879768993653,0.02352487824729667
60min,Reactive,lag=3,1.267,0.027722110270392966,0.47011879768993653,0.02352487824729667
60min,Reactive,lag=3,1.333,0.027722110270392966,0.47011879768993653,0.02352487824729667
60min,Reactive,lag=3,1.4,0.027722110270392966,0.47011879768993653,0.02352487824729667
60min,Reactive,lag=3,1.467,0.027722110270392966,0.47011879768993653,0.02352487824729667
60min,Reactive,lag=3,1.533,0.027722110270392966,0.47011879768993653,0.02352487824729667
60min,Reactive,lag=3,1.6,0.027722110270392966,0.47011879768993653,0.02352487824729667
60min,Reactive,lag=4,1.0,0.030680352546487766,0.4714044043177907,0.025894208090959693
60min,Reactive,lag=4,1.067,0.030680352546487766,0.4714044043177907,0.025894208090959693
60min,Reactive,lag=4,1.133,0.030680352546487766,0.4714044043177907,0.025894208090959693
60min,Reactive,lag=4,1.2,0.030680352546487766,0.4714044043177907,0.025894208090959693
60min,Reactive,lag=4,1.267,0.030680352546487766,0.4714044043177907,0.025894208090959693
60min,Reactive,lag=4,1.333,0.030680352546487766,0.4714044043177907,0.025894208090959693
60min,Reactive,lag=4,1.4,0.030680352546487766,0.4714044043177907,0.025894208090959693
60min,Reactive,lag=4,1.467,0.030680352546487766,0.4714044043177907,0.025894208090959693
60min,Reactive,lag=4,1.533,0.030680352546487766,0.4714044043177907,0.025894208090959693
60min,Reactive,lag=4,1.6,0.030680352546487766,0.4714044043177907,0.025894208090959693
60min,ML-Proactive,ML,1.0,0.01586323495759092,0.470407381271781,0.014164720743485322
60min,ML-Proactive,ML,1.067,0.015245803656846363,0.4942384291434461,0.013784781533758879
60min,ML-Proactive,ML,1.133,0.014600615704220183,0.5144461054500926,0.013486018763114956
60min,ML-Proactive,ML,1.2,0.014099145526892187,0.5319578097877043,0.013229009853074233
60min,ML-Proactive,ML,1.267,0.013501452289707895,0.5476777685725883,0.012992145611642351
60min,ML-Proactive,ML,1.333,0.013011701587618807,0.5613110305730509,0.01278490060847659
60min,ML-Proactive,ML,1.4,0.012711929747297273,0.5736574437610378,0.012608440484638883
60min,ML-Proactive,ML,1.467,0.0125133154827221,0.584616165223743,0.012460613287399504
60min,ML-Proactive,ML,1.533,0.012335672910679711,0.594962605804813,0.012316701448598935
60min,ML-Proactive,ML,1.6,0.012191955135381528,0.6040191377378592,0.012194578131186865
120min,Reactive,lag=1,1.0,0.020139791739881615,0.46722855462395857,0.017838005581128007
120min,Reactive,lag=1,1.067,0.020139791739881615,0.46722855462395857,0.017838005581128007
120min,Reactive,lag=1,1.133,0.020139791739881615,0.46722855462395857,0.017838005581128007
120min,Reactive,lag=1,1.2,0.020139791739881615,0.46722855462395857,0.017838005581128007
120min,Reactive,lag=1,1.267,0.020139791739881615,0.46722855462395857,0.017838005581128007
120min,Reactive,lag=1,1.333,0.020139791739881615,0.46722855462395857,0.017838005581128007
120min,Reactive,lag=1,1.4,0.020139791739881615,0.46722855462395857,0.017838005581128007
120min,Reactive,lag=1,1.467,0.020139791739881615,0.46722855462395857,0.017838005581128007
120min,Reactive,lag=1,1.533,0.020139791739881615,0.46722855462395857,0.017838005581128007
120min,Reactive,lag=1,1.6,0.020139791739881615,0.46722855462395857,0.017838005581128007
120min,Reactive,lag=2,1.0,0.02430384187235666,0.46895060125200155,0.021012855588079714
120min,Reactive,lag=2,1.067,0.02430384187235666,0.46895060125200155,0.021012855588079714
120min,Reactive,lag=2,1.133,0.02430384187235666,0.46895060125200155,0.021012855588079714
120min,Reactive,lag=2,1.2,0.02430384187235666,0.46895060125200155,0.021012855588079714
120min,Reactive,lag=2,1.267,0.02430384187235666,0.46895060125200155,0.021012855588079714
120min,Reactive,lag=2,1.333,0.02430384187235666,0.46895060125200155,0.021012855588079714
120min,Reactive,lag=2,1.4,0.02430384187235666,0.46895060125200155,0.021012855588079714
120min,Reactive,lag=2,1.467,0.02430384187235666,0.46895060125200155,0.021012855588079714
120min,Reactive,lag=2,1.533,0.02430384187235666,0.46895060125200155,0.021012855588079714
120min,Reactive,lag=2,1.6,0.02430384187235666,0.46895060125200155,0.021012855588079714
120min,Reactive,lag=3,1.0,0.02777078968442197,0.47043767940926046,0.02375447486848475
120min,Reactive,lag=3,1.067,0.02777078968442197,0.47043767940926046,0.02375447486848475
120min,Reactive,lag=3,1.133,0.02777078968442197,0.47043767940926046,0.02375447486848475
