Horizon,Strategy,variant,target_util,safety_margin,violation_rate,waste_rate,viol_severity
30min,Reactive,lag=2_tu=0.6,0.6,1.133,0.02537862886102696,0.45038206752628074,0.021424705016221318
30min,Reactive,lag=2_tu=0.6,0.6,1.2,0.02429306761314038,0.46900021347347126,0.020838113231030804
30min,Reactive,lag=2_tu=0.6,0.6,1.267,0.023577639134482985,0.49196986221395317,0.01982285708918027
30min,Reactive,lag=2_tu=0.6,0.6,1.333,0.02247632755599091,0.5089857641439712,0.01920200855508732
30min,Reactive,lag=2_tu=0.6,0.6,1.4,0.021075153914048024,0.5249791404783043,0.018581923239050464
30min,Reactive,lag=2_tu=0.6,0.6,1.467,0.020532979072051098,0.5377993758251401,0.018174628987961117
30min,Reactive,lag=2_tu=0.6,0.6,1.533,0.01842122320702174,0.5506136252176297,0.01759704904674065
30min,Reactive,lag=2_tu=0.6,0.6,1.6,0.018017772430742464,0.562558468940511,0.017190870268194824
30min,Reactive,lag=2_tu=0.7,0.7,1.0,0.050284747803889,0.3173710650738466,0.028114751596006373
30min,Reactive,lag=2_tu=0.7,0.7,1.067,0.03664738462731386,0.35498103966477684,0.025478332239387454
30min,Reactive,lag=2_tu=0.7,0.7,1.133,0.034359346215892206,0.382629026268515,0.024354845906274476
30min,Reactive,lag=2_tu=0.7,0.7,1.2,0.03144432348998249,0.4101023754924077,0.02316275801173477
30min,Reactive,lag=2_tu=0.7,0.7,1.267,0.027520068041428217,0.4337278552794704,0.022109751930648135
30min,Reactive,lag=2_tu=0.7,0.7,1.333,0.025046660354418784,0.454545546753495,0.021267540805746915
30min,Reactive,lag=2_tu=0.7,0.7,1.4,0.024322145146565912,0.4748855566083873,0.020453069721730697
30min,Reactive,lag=2_tu=0.7,0.7,1.467,0.023749681207250725,0.489647190224806,0.019909012665897185
30min,Reactive,lag=2_tu=0.7,0.7,1.533,0.0226126284939231,0.5039252029350937,0.01937191263619039
30min,Reactive,lag=2_tu=0.7,0.7,1.6,0.021301716361988635,0.5184222419564067,0.018829558143712784
30min,Reactive,lag=2_tu=0.8,0.8,1.0,0.07971181741247511,0.23458163802833984,0.03476810500001761
30min,Reactive,lag=2_tu=0.8,0.8,1.067,0.05868754918192177,0.27611544709842595,0.03087363809608798
30min,Reactive,lag=2_tu=0.8,0.8,1.133,0.051569611312129754,0.312217110227025,0.02842303298158766
30min,Reactive,lag=2_tu=0.8,0.8,1.2,0.04817662663053783,0.3373129250013759,0.027267873099146724
30min,Reactive,lag=2_tu=0.8,0.8,1.267,0.0354951873653271,0.3714011011104772,0.024861358504656216
30min,Reactive,lag=2_tu=0.8,0.8,1.333,0.032467489197393444,0.39629012096920957,0.02378648329080839
30min,Reactive,lag=2_tu=0.8,0.8,1.4,0.031085094795787877,0.41733041558638434,0.022912393134794876
30min,Reactive,lag=2_tu=0.8,0.8,1.467,0.02731834265328858,0.437582791697204,0.02199327311347174
30min,Reactive,lag=2_tu=0.8,0.8,1.533,0.024937619604073036,0.45633063876685814,0.021207246579315383
30min,Reactive,lag=2_tu=0.8,0.8,1.6,0.024284586665891266,0.4709080638518301,0.020721047323042023
30min,Reactive,lag=3_tu=0.5,0.5,1.0,0.027686658076678666,0.4705956600034274,0.023522233716155683
30min,Reactive,lag=3_tu=0.5,0.5,1.067,0.026441170394951655,0.49660026415374664,0.022103704895280612
30min,Reactive,lag=3_tu=0.5,0.5,1.133,0.024170093878028227,0.5175468119729726,0.021124760320175847
30min,Reactive,lag=3_tu=0.5,0.5,1.2,0.023374096400504252,0.5333103722052384,0.020481073953481272
30min,Reactive,lag=3_tu=0.5,0.5,1.267,0.02065595280716325,0.5500870524761428,0.019585408210112756
30min,Reactive,lag=3_tu=0.5,0.5,1.333,0.020135586115235478,0.5621266176040743,0.019143857210120976
30min,Reactive,lag=3_tu=0.5,0.5,1.4,0.019323838307106003,0.5744158005229799,0.01857056303183089
30min,Reactive,lag=3_tu=0.5,0.5,1.467,0.018708969631545246,0.5851210373126673,0.01814195738425211
30min,Reactive,lag=3_tu=0.5,0.5,1.533,0.018533292867099316,0.5952944777277136,0.017678772087824087
30min,Reactive,lag=3_tu=0.5,0.5,1.6,0.0180607829489344,0.604265742949994,0.017333503981062797
30min,Reactive,lag=3_tu=0.6,0.6,1.0,0.03754030721625628,0.39808821988083004,0.02712955450374975
30min,Reactive,lag=3_tu=0.6,0.6,1.067,0.032032537759903175,0.4277318665677896,0.02539475986224501
30min,Reactive,lag=3_tu=0.6,0.6,1.133,0.029072687169962422,0.45195967619240185,0.024233758426220886
30min,Reactive,lag=3_tu=0.6,0.6,1.2,0.027727851249031505,0.47044991715603995,0.02351154866337035
30min,Reactive,lag=3_tu=0.6,0.6,1.267,0.02682644771283997,0.4932373197301096,0.02226844257723473
30min,Reactive,lag=3_tu=0.6,0.6,1.333,0.025487063829426344,0.510140920469646,0.021509627702232238
30min,Reactive,lag=3_tu=0.6,0.6,1.4,0.023820557694975462,0.5260282951302019,0.020749726709226837
30min,Reactive,lag=3_tu=0.6,0.6,1.467,0.0231499570803491,0.5387765485349588,0.020250582100540475
30min,Reactive,lag=3_tu=0.6,0.6,1.533,0.020626269491791353,0.5515033159875398,0.01954219832632151
30min,Reactive,lag=3_tu=0.6,0.6,1.6,0.02012589360409363,0.5633839345109839,0.019045666271750247
30min,Reactive,lag=3_tu=0.7,0.7,1.0,0.05886928376583135,0.3203637068844547,0.03237565123048363
30min,Reactive,lag=3_tu=0.7,0.7,1.067,0.04264280855049102,0.35743352170522724,0.02918381461081163
30min,Reactive,lag=3_tu=0.7,0.7,1.133,0.039852576905532545,0.3848142275271867,0.02780834890102471
30min,Reactive,lag=3_tu=0.7,0.7,1.2,0.03635236881943397,0.41202885990403076,0.026353097549835204
30min,Reactive,lag=3_tu=0.7,0.7,1.267,0.03163877949476574,0.4354401777090585,0.02506692835261144
30min,Reactive,lag=3_tu=0.7,0.7,1.333,0.02865469762697038,0.456090373771085,0.02403966620364771
30min,Reactive,lag=3_tu=0.7,0.7,1.4,0.02776722707554525,0.4762735768726976,0.023042463104277894
30min,Reactive,lag=3_tu=0.7,0.7,1.467,0.02704210608574601,0.49093003092469506,0.022372797969135463
30min,Reactive,lag=3_tu=0.7,0.7,1.533,0.025653653864676794,0.505112134230284,0.021718397195114935
30min,Reactive,lag=3_tu=0.7,0.7,1.6,0.02409921739030349,0.5195140391080991,0.021054192004527645
30min,Reactive,lag=3_tu=0.8,0.8,1.0,0.09406097437602945,0.2390794947834605,0.04044031223837766
30min,Reactive,lag=3_tu=0.8,0.8,1.067,0.06899856369100517,0.27974573624428506,0.035733986804546904
30min,Reactive,lag=3_tu=0.8,0.8,1.133,0.060393431142886395,0.31528109726884923,0.032751448059488736
30min,Reactive,lag=3_tu=0.8,0.8,1.2,0.05630016253129621,0.3400842143617574,0.03133591340175681
30min,Reactive,lag=3_tu=0.8,0.8,1.267,0.041224067232103534,0.37369995519109633,0.028427729708086706
30min,Reactive,lag=3_tu=0.8,0.8,1.333,0.037574231005252735,0.3983486291460201,0.027115317551549507
30min,Reactive,lag=3_tu=0.8,0.8,1.4,0.035902878615230935,0.41920009150257853,0.0260478690364783
30min,Reactive,lag=3_tu=0.8,0.8,1.467,0.03140131297179055,0.4392689744146852,0.02492561559407132
30min,Reactive,lag=3_tu=0.8,0.8,1.533,0.028525060290448212,0.45786180436091223,0.023964048907013036
30min,Reactive,lag=3_tu=0.8,0.8,1.6,0.0277157356101042,0.4723375575244055,0.023367036259902753
30min,Reactive,lag=4_tu=0.5,0.5,1.0,0.030630152554067553,0.4718710963045701,0.025874941437691465
30min,Reactive,lag=4_tu=0.5,0.5,1.067,0.02918475683004,0.49770069782974646,0.02424156673402555
30min,Reactive,lag=4_tu=0.5,0.5,1.133,0.026631991708056718,0.5185271043681021,0.02311391205614467
30min,Reactive,lag=4_tu=0.5,0.5,1.2,0.025729982389918818,0.5342081621819406,0.022365606106683793
30min,Reactive,lag=4_tu=0.5,0.5,1.267,0.02261747474949402,0.5508871822824096,0.021329185341046924
30min,Reactive,lag=4_tu=0.5,0.5,1.333,0.021994730908630515,0.5628732039261597,0.020816449580053943
30min,Reactive,lag=4_tu=0.5,0.5,1.4,0.02105879780149616,0.5751013933302552,0.020151804071357367
30min,Reactive,lag=4_tu=0.5,0.5,1.467,0.02033428259364329,0.5857591848327766,0.019652424626346053
30min,Reactive,lag=4_tu=0.5,0.5,1.533,0.020129528295771824,0.5958862335623112,0.01911532459663926
30min,Reactive,lag=4_tu=0.5,0.5,1.6,0.01957705516068669,0.6048214068029658,0.01871351964464567
30min,Reactive,lag=4_tu=0.6,0.6,1.0,0.04179410804363326,0.39988383501651964,0.03003198470745852
