target_util,tolerance,reaction_lag,violation_rate,waste_rate,waste_cost_ph,viol_cost_ph,total_cost_ph
0.85,0.15,1,0.21832,0.3942465657660177,0.019712328288300884,0.10916,0.12887232828830086
0.85,0.15,2,0.26078,0.4226789277130501,0.021133946385652507,0.13039,0.1515239463856525
0.85,0.15,3,0.2896,0.44493442577109144,0.022246721288554573,0.1448,0.16704672128855458
0.85,0.2,1,0.22388,0.3918118774731243,0.019590593873656217,0.11194,0.1315305938736562
0.85,0.2,2,0.26544,0.4205865643934674,0.021029328219673373,0.13272,0.15374932821967338
0.85,0.2,3,0.29426,0.4431806582279194,0.02215903291139597,0.14713,0.169289032911396
0.9,0.05,1,0.24438,0.3769165491680077,0.018845827458400386,0.12219,0.14103582745840038
0.9,0.05,2,0.28484,0.4074449781919775,0.020372248909598878,0.14242,0.16279224890959887
0.9,0.05,3,0.31406,0.4312302935461727,0.021561514677308637,0.15703,0.17859151467730863
0.9,0.1,1,0.24622,0.37391611883774845,0.01869580594188742,0.12311,0.1418058059418874
0.9,0.1,2,0.28688,0.40478354054344967,0.020239177027172484,0.14344,0.1636791770271725
0.9,0.1,3,0.3161,0.42878482226867837,0.02143924111343392,0.15805,0.17948924111343392
0.9,0.15,1,0.2505,0.37149504137954403,0.018574752068977202,0.12525,0.1438247520689772
0.9,0.15,2,0.2911,0.40263793968423994,0.020131896984212,0.14555,0.165681896984212
0.9,0.15,3,0.31932,0.4267241284048843,0.021336206420244214,0.15966,0.18099620642024422
0.9,0.2,1,0.25278,0.3703163114180148,0.01851581557090074,0.12639,0.14490581557090074
0.9,0.2,2,0.29294,0.40150929221796156,0.02007546461089808,0.14647,0.16654546461089806
0.9,0.2,3,0.3211,0.42579324235594757,0.02128966211779738,0.16055,0.18183966211779737
