container_id,n_points,et_r2,naive_r2,et_minus_naive_pp,note,horizon
c_10822,343,-0.0023412499185742064,-0.020189642906188965,1.7848392987614758,,10min
c_10824,344,0.9060788630457745,0.9071782827377319,-0.10994196919574817,,10min
c_10838,328,0.36739692977978056,0.36416882276535034,0.3228107014430215,,10min
c_10844,333,0.8999995366014246,0.897515594959259,0.2483941642165588,,10min
c_10854,342,0.4630820372767782,0.4687657356262207,-0.568369834944249,,10min
c_10870,342,,,,constant_y_true,10min
c_10875,344,0.9032755666863904,0.9004150629043579,0.28605037820325085,,10min
c_10903,340,0.8383927066888865,0.8331676721572876,0.5225034531598949,,10min
c_1091,339,0.514701847440254,0.5000767707824707,1.4625076657783342,,10min
c_10910,343,0.20696117428332916,0.1520322561264038,5.492891815692536,,10min
c_10929,343,0.2492503853447401,0.23928052186965942,0.9969863475080665,,10min
c_10950,342,0.8356064944931288,0.8351516723632812,0.04548221298475985,,10min
c_10965,341,0.30209273857314367,0.2634207010269165,3.8672037546227167,,10min
c_10968,342,0.5710179881487109,0.5624403953552246,0.8577592793486244,,10min
c_10987,338,0.34483042928396845,0.33078575134277344,1.4044677941195016,,10min
c_10995,342,,,,constant_y_true,10min
c_10999,340,0.958067144906273,0.9562843441963196,0.17828007099534027,,10min
c_11007,343,0.40902445328351633,0.40049034357070923,0.8534109712807103,,10min
c_11015,340,0.3080161126831569,0.30761128664016724,0.040482604298963665,,10min
c_11019,344,0.6575385591843037,0.6533153057098389,0.42232534744648387,,10min
c_11059,344,0.8957789457584034,0.8902307748794556,0.5548170878947878,,10min
c_1108,340,0.6265668565424619,0.5625754594802856,6.3991397062176265,,10min
c_11113,343,0.9039405957137522,0.8988401293754578,0.5100466338294418,,10min
c_11124,344,0.7429799149278532,0.7343615293502808,0.861838557757244,,10min
c_11125,339,,,,constant_y_true,10min
c_11133,342,0.5339338335784333,0.5248096585273743,0.9124175051059003,,10min
c_11138,335,0.8237813728178706,0.819661021232605,0.41203515852655803,,10min
c_1114,339,0.7072661463048395,0.7019403576850891,0.5325788619750416,,10min
c_11178,340,-0.062491293208111864,-0.06675148010253906,0.4260186894427198,,10min
c_11179,335,0.14452160425722582,0.1208958625793457,2.362574167788012,,10min
c_11203,342,0.9443713043879581,0.9417039752006531,0.26673291873050564,,10min
c_11210,342,0.7184057322807341,0.7005100846290588,1.7895647651675284,,10min
c_11227,341,0.822923871341503,0.8137170076370239,0.9206863704479096,,10min
c_11240,340,0.05427504311306908,0.037039875984191895,1.7235167128877182,,10min
c_11243,342,0.5099922328319335,0.4644402265548706,4.555200627706291,,10min
c_11245,339,0.04575981836305387,0.02279609441757202,2.296372394548185,,10min
c_11250,343,0.23566148377795848,0.22779977321624756,0.7861710561710922,,10min
c_11264,339,0.6979703089376385,0.6961092352867126,0.1861073650925804,,10min
c_11271,342,0.18609796365941167,0.17372900247573853,1.2368961183673144,,10min
c_11277,343,0.6179676803092454,0.6059966683387756,1.1971011970469791,,10min
c_11286,343,0.23966186530102063,0.20171350240707397,3.794836289394665,,10min
c_11337,341,0.26178610418871706,0.24018913507461548,2.1596969114101583,,10min
c_11349,323,0.9217961267624027,0.9182435274124146,0.35525993499881947,,10min
