container_id,start_idx,end_idx,n_points
c_1968,241799,242120,321
c_19685,242120,242439,319
c_19689,242439,242759,320
c_19713,242759,243080,321
c_19714,243080,243400,320
c_19715,243400,243720,320
c_19736,243720,244042,322
c_19737,244042,244363,321
c_19747,244363,244684,321
c_19748,244684,245005,321
c_19756,245005,245325,320
c_19760,245325,245646,321
c_19769,245646,245963,317
c_19770,245963,246280,317
c_19774,246280,246600,320
c_19786,246600,246920,320
c_19811,246920,247231,311
c_19829,247231,247544,313
c_19836,247544,247861,317
c_19853,247861,248175,314
c_19855,248175,248495,320
c_19900,248495,248811,316
c_19912,248811,249132,321
c_19924,249132,249453,321
c_19937,249453,249773,320
c_19957,249773,250094,321
c_19958,250094,250412,318
c_20001,250412,250724,312
c_20002,250724,251043,319
c_20018,251043,251357,314
c_20020,251357,251678,321
c_20031,251678,251994,316
c_20038,251994,252313,319
c_20044,252313,252633,320
c_2007,252633,252953,320
c_20079,252953,253274,321
c_20117,253274,253594,320
c_20118,253594,253915,321
c_20145,253915,254234,319
c_2015,254234,254549,315
c_20151,254549,254868,319
c_20164,254868,255188,320
c_20249,255188,255507,319
c_20260,255507,255818,311
c_2027,255818,256136,318
c_20280,256136,256455,319
c_20301,256455,256775,320
c_20315,256775,257095,320
c_20317,257095,257416,321
c_20335,257416,257730,314
c_20348,257730,258047,317
c_20350,258047,258365,318
c_2037,258365,258687,322
c_20427,258687,259006,319
c_20435,259006,259316,310
c_20444,259316,259635,319
c_20488,259635,259953,318
c_20491,259953,260269,316
c_20494,260269,260589,320
c_20503,260589,260909,320
c_20505,260909,261223,314
c_20539,261223,261534,311
c_20547,261534,261854,320
c_2055,261854,262175,321
c_2057,262175,262492,317
c_20582,262492,262810,318
c_20592,262810,263119,309
c_2060,263119,263440,321
c_20602,263440,263761,321
c_20625,263761,264080,319
c_20626,264080,264400,320
c_20629,264400,264715,315
c_20645,264715,265034,319
c_20647,265034,265351,317
c_20648,265351,265672,321
c_20656,265672,265988,316
c_20682,265988,266306,318
c_20693,266306,266627,321
c_20696,266627,266949,322
c_20699,266949,267269,320
c_20702,267269,267590,321
c_20713,267590,267906,316
c_20728,267906,268226,320
c_20731,268226,268547,321
c_2074,268547,268858,311
c_20740,268858,269178,320
c_20759,269178,269499,321
c_20765,269499,269814,315
c_20774,269814,270132,318
c_2078,270132,270454,322
c_20793,270454,270772,318
c_20846,270772,271093,321
c_20895,271093,271407,314
c_20906,271407,271728,321
c_20948,271728,272046,318
c_20951,272046,272366,320
c_20954,272366,272686,320
c_20966,272686,273007,321
c_21,273007,273328,321
c_210,273328,273648,320
c_21051,273648,273966,318
c_21093,273966,274285,319
c_21095,274285,274607,322
c_21150,274607,274923,316
c_21159,274923,275242,319
c_21173,275242,275559,317
c_21175,275559,275877,318
c_21183,275877,276198,321
c_21193,276198,276516,318
c_21205,276516,276837,321
c_21214,276837,277155,318
c_21225,277155,277469,314
c_21232,277469,277791,322
c_21233,277791,278112,321
c_21252,278112,278432,320
c_21268,278432,278752,320
c_21283,278752,279073,321
c_21290,279073,279391,318
c_21292,279391,279709,318
c_21301,279709,280030,321
c_2132,280030,280347,317
c_21330,280347,280668,321
c_21345,280668,280986,318
c_21353,280986,281304,318
c_21356,281304,281624,320
c_21393,281624,281945,321
