container_id,dataset,horizon,horizon_min,model,r2,n_points,naive_r2,pred_key,source
c_23185,alibaba,h060,60,chronos2,-0.790558510638298,20,-1.127659574468085,y_pred_mean,foundation_npz
c_23206,alibaba,h060,60,chronos2,0.4577320390365448,20,0.5016611295681063,y_pred_mean,foundation_npz
c_23212,alibaba,h060,60,chronos2,-0.08724757297510521,20,-0.8513323983169707,y_pred_mean,foundation_npz
c_2322,alibaba,h060,60,chronos2,-0.094091322815534,20,-0.6699029126213591,y_pred_mean,foundation_npz
c_23237,alibaba,h060,60,chronos2,,20,,y_pred_mean,foundation_npz
c_23244,alibaba,h060,60,chronos2,0.41052020359174957,20,0.3883357041251778,y_pred_mean,foundation_npz
c_23249,alibaba,h060,60,chronos2,-0.8629571568896197,20,-1.5730994152046782,y_pred_mean,foundation_npz
c_23257,alibaba,h060,60,chronos2,0.8295236343990835,20,0.8083732555717559,y_pred_mean,foundation_npz
c_23258,alibaba,h060,60,chronos2,-0.2701149693664078,20,-0.9087467623032477,y_pred_mean,foundation_npz
c_23271,alibaba,h060,60,chronos2,0.7978102740119486,20,0.7602941176470588,y_pred_mean,foundation_npz
c_23275,alibaba,h060,60,chronos2,-0.14145673757723976,20,-0.544799176107106,y_pred_mean,foundation_npz
c_23278,alibaba,h060,60,chronos2,-1.5692952473958335,20,-1.3333333333333335,y_pred_mean,foundation_npz
c_23291,alibaba,h060,60,chronos2,0.5209233118774458,20,0.5446460334400569,y_pred_mean,foundation_npz
c_23299,alibaba,h060,60,chronos2,-0.7438077788475468,20,-0.9552829824222522,y_pred_mean,foundation_npz
c_2332,alibaba,h060,60,chronos2,-25.434836085838608,20,-30.455696202531644,y_pred_mean,foundation_npz
c_23320,alibaba,h060,60,chronos2,-0.34017248188964233,20,-0.28236744759556087,y_pred_mean,foundation_npz
c_23328,alibaba,h060,60,chronos2,-0.4685486910635963,20,-0.871345029239766,y_pred_mean,foundation_npz
c_23343,alibaba,h060,60,chronos2,0.461231255431081,20,0.5194814345099696,y_pred_mean,foundation_npz
c_23347,alibaba,h060,60,chronos2,-0.6405378069196428,20,-1.1428571428571428,y_pred_mean,foundation_npz
c_23367,alibaba,h060,60,chronos2,-0.1499664379474941,20,-0.31264916467780424,y_pred_mean,foundation_npz
c_23368,alibaba,h060,60,chronos2,0.8034144196951934,20,0.7690504103165299,y_pred_mean,foundation_npz
c_23392,alibaba,h060,60,chronos2,-0.40809106045081966,20,-0.5368852459016393,y_pred_mean,foundation_npz
c_23416,alibaba,h060,60,chronos2,0.11241558261703632,20,0.9845339361132591,y_pred_mean,foundation_npz
c_23430,alibaba,h060,60,chronos2,-0.2512313179347827,20,-0.3913043478260869,y_pred_mean,foundation_npz
c_23437,alibaba,h060,60,chronos2,0.7042713284021689,20,0.6626280206171765,y_pred_mean,foundation_npz
c_23439,alibaba,h060,60,chronos2,-0.4084305301789315,20,-0.3306451612903225,y_pred_mean,foundation_npz
c_23452,alibaba,h060,60,chronos2,-0.19532729640151514,20,-0.4562289562289563,y_pred_mean,foundation_npz
c_23464,alibaba,h060,60,chronos2,0.7284786032131298,20,0.710124826629681,y_pred_mean,foundation_npz
c_23493,alibaba,h060,60,chronos2,0.7611432435543278,20,0.6685082872928176,y_pred_mean,foundation_npz
c_23518,alibaba,h060,60,chronos2,-0.07988248954103527,20,-0.07836570663094422,y_pred_mean,foundation_npz
c_2352,alibaba,h060,60,chronos2,0.08569106049905839,20,-0.03578154425612046,y_pred_mean,foundation_npz
c_23520,alibaba,h060,60,chronos2,-0.1678197667347734,20,-0.7406110138159177,y_pred_mean,foundation_npz
c_23524,alibaba,h060,60,chronos2,-0.32630467591611945,20,-0.1484469777204367,y_pred_mean,foundation_npz
c_23526,alibaba,h060,60,chronos2,0.4731329083012743,20,0.40610723731666265,y_pred_mean,foundation_npz
c_23530,alibaba,h060,60,chronos2,-0.48203531901041674,20,-1.0833333333333335,y_pred_mean,foundation_npz
c_23547,alibaba,h060,60,chronos2,0.2759142969634768,20,0.04869762174405434,y_pred_mean,foundation_npz
c_23549,alibaba,h060,60,chronos2,-0.6484749492994102,20,-2.008849557522124,y_pred_mean,foundation_npz
c_23556,alibaba,h060,60,chronos2,-1.2235974027910306,20,-38.38167938931298,y_pred_mean,foundation_npz
c_23561,alibaba,h060,60,chronos2,0.3407325710354896,20,-0.20395327942497765,y_pred_mean,foundation_npz
c_23576,alibaba,h060,60,chronos2,0.033418665110356516,20,0.059847198641765686,y_pred_mean,foundation_npz
c_23593,alibaba,h060,60,chronos2,0.5975592985746924,20,-7.998390362947193,y_pred_mean,foundation_npz
